,Location,Position,LocalTime,Conditions,Temperature,Pressure,Humidity,hour,xcoordloc,ycoordloc
222,Melbourne,"-37.83,144.98,7",2017-11-24T15:29:59Z,Very Cold,0.8934614447159674,1015,10,15,-37.0,144.0
223,Adelaide,"-34.92,138.62,48",2017-11-24T15:29:59Z,Rain,14.41076777577672,1018,86,15,-34.0,138.0
224,Perth,"-31.95,115.86",2017-11-24T15:29:59Z,Rain,10.227717088723523,993,95,15,-31.0,115.0
225,Darwin,"-12.46,130.84",2017-11-24T15:29:59Z,Sunny,15.350378515727243,998,63,15,-12.0,130.0
226,Canberra,"-35.28,149.13",2017-11-24T15:29:59Z,Rain,1.9522180720305755,983,89,15,-35.0,149.0
227,GoldCoast,"-28.07,153.44",2017-11-24T15:29:59Z,Rain,17.86242929530806,1019,95,15,-28.0,153.0
228,Hobart,"-42.85,147.29",2017-11-24T15:29:59Z,Very Cold,1.2870143780983767,1020,19,15,-42.0,147.0
229,Cairns,"-16.92,145.75",2017-11-24T15:29:59Z,Sunny,15.885201257442247,1017,42,15,-16.0,145.0
230,Sydney,"-33.86,151.21,39",2017-11-24T16:29:59Z,Very Cold,0.5227926425408782,1005,19,16,-33.0,151.0
231,Brisbane,"-27.46,153.02",2017-11-24T16:29:59Z,Very Cold,4.321048617536235,983,79,16,-27.0,153.0
232,Melbourne,"-37.83,144.98,7",2017-11-24T16:29:59Z,Rain,10.12358035264856,1011,83,16,-37.0,144.0
233,Adelaide,"-34.92,138.62,48",2017-11-24T16:29:59Z,Very Cold,7.26670753517169,1019,31,16,-34.0,138.0
234,Perth,"-31.95,115.86",2017-11-24T16:29:59Z,Very Cold,5.70509046815539,1001,42,16,-31.0,115.0
235,Darwin,"-12.46,130.84",2017-11-24T16:29:59Z,Cold,13.161247762141272,994,55,16,-12.0,130.0
236,Canberra,"-35.28,149.13",2017-11-24T16:29:59Z,Very Cold,1.5811015650957643,1003,37,16,-35.0,149.0
237,GoldCoast,"-28.07,153.44",2017-11-24T16:29:59Z,Rain,17.996991185486195,1019,94,16,-28.0,153.0
238,Hobart,"-42.85,147.29",2017-11-24T16:29:59Z,Very Cold,-9.445721772288096,982,31,16,-42.0,147.0
239,Cairns,"-16.92,145.75",2017-11-24T16:29:59Z,Rain,12.164914650580101,981,99,16,-16.0,145.0
